# time  ID  size  fromHost  toHost  TTL  isResponse
581.0000 M581 500000 t52 p2 240 N 
582.0000 M582 500000 p12 p30 240 N 
583.0000 M583 500000 p0 t76 240 N 
584.0000 M584 500000 t64 p12 240 N 
585.0000 M585 500000 t65 p9 240 N 
586.0000 M586 500000 t70 p3 240 N 
587.0000 M587 500000 p20 t73 240 N 
588.0000 M588 500000 t55 t69 240 N 
589.0000 M589 500000 p20 p37 240 N 
590.0000 M590 500000 p37 p27 240 N 
591.0000 M591 500000 t50 p19 240 N 
592.0000 M592 500000 p39 t77 240 N 
593.0000 M593 500000 p12 p14 240 N 
594.0000 M594 500000 p20 t76 240 N 
595.0000 M595 500000 p24 p1 240 N 
596.0000 M596 500000 p38 t54 240 N 
597.0000 M597 500000 p25 p9 240 N 
598.0000 M598 500000 p34 p30 240 N 
599.0000 M599 500000 p1 t43 240 N 
600.0000 M600 500000 t52 p25 240 N 
601.0000 M601 500000 p16 p34 240 N 
602.0000 M602 500000 p12 p0 240 N 
603.0000 M603 500000 t47 t56 240 N 
604.0000 M604 500000 t66 p10 240 N 
605.0000 M605 500000 t69 p29 240 N 
606.0000 M606 500000 t76 p38 240 N 
607.0000 M607 500000 t64 p19 240 N 
608.0000 M608 500000 t49 p16 240 N 
609.0000 M609 500000 t77 t78 240 N 
610.0000 M610 500000 t50 p7 240 N 
611.0000 M611 500000 p39 p32 240 N 
612.0000 M612 500000 t65 p21 240 N 
613.0000 M613 500000 t70 p33 240 N 
614.0000 M614 500000 p31 p34 240 N 
615.0000 M615 500000 p20 p35 240 N 
616.0000 M616 500000 p11 t65 240 N 
617.0000 M617 500000 p26 t48 240 N 
618.0000 M618 500000 p10 p14 240 N 
619.0000 M619 500000 p27 p29 240 N 
620.0000 M620 500000 t56 p23 240 N 
621.0000 M621 500000 p19 t66 240 N 
622.0000 M622 500000 p31 p2 240 N 
623.0000 M623 500000 t45 t42 240 N 
624.0000 M624 500000 t74 p31 240 N 
625.0000 M625 500000 p13 p19 240 N 
626.0000 M626 500000 t59 p4 240 N 
627.0000 M627 500000 p39 p7 240 N 
628.0000 M628 500000 t57 p12 240 N 
629.0000 M629 500000 p34 p11 240 N 
630.0000 M630 500000 t54 t60 240 N 
631.0000 M631 500000 p9 t67 240 N 
