# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1626.3000 M458 500000 3 1168.3000 t78 p37 220 N t78->t57->p17->p37
1634.9000 M185 500000 1 1449.9000 p14 t50 215 N p14->t50
1637.9000 M174 500000 4 1463.9000 t78 p38 215 N t78->t57->t48->p17->p38
1650.9000 M625 500000 4 1025.9000 p13 p19 222 N p13->t78->t57->p17->p19
1651.1000 M985 500000 3 666.1000 t62 t78 228 N t62->t77->p8->t78
1651.3000 M136 500000 5 1515.3000 t65 p8 214 N t65->p31->t48->t57->t78->p8
1651.5000 M637 500000 4 1014.5000 p24 p8 223 N p24->t48->t57->t78->p8
1665.9000 M82 500000 2 1583.9000 p33 p36 213 N p33->p32->p36
1688.9000 M1669 500000 1 19.9000 p4 t49 239 N p4->t49
1694.5000 M614 500000 4 1080.5000 p31 p34 221 N p31->t48->t76->t70->p34
1694.6000 M439 500000 1 1255.6000 p34 t70 219 N p34->t70
1694.8000 M1526 500000 1 168.8000 p34 t70 237 N p34->t70
1694.9000 M415 500000 2 1279.9000 p26 t70 218 N p26->p34->t70
1698.6000 M8 500000 1 1690.6000 t52 t48 211 N t52->t48
1701.7000 M1536 500000 3 165.7000 t63 t78 237 N t63->t69->t73->t78
1711.9000 M190 500000 2 1521.9000 p23 t55 214 N p23->t42->t55
1712.0000 M1588 500000 1 124.0000 t55 t42 237 N t55->t42
1722.8000 M665 500000 1 1057.8000 p14 p15 222 N p14->p15
1722.9000 M18 500000 1 1704.9000 p14 p15 211 N p14->p15
1728.4000 M696 500000 1 1032.4000 p11 t41 222 N p11->t41
1736.5000 M851 500000 4 885.5000 t71 t66 225 N t71->t78->t57->p17->t66
1736.6000 M905 500000 2 831.6000 t43 t66 226 N t43->p17->t66
1736.8000 M899 500000 4 837.8000 t62 t66 226 N t62->t78->t57->p17->t66
1736.9000 M1296 500000 3 440.9000 p36 p17 232 N p36->t64->t66->p17
1747.8000 M1615 500000 1 132.8000 p30 t63 237 N p30->t63
1747.9000 M251 500000 3 1496.9000 p18 p30 215 N p18->t77->t63->p30
1748.0000 M266 500000 2 1482.0000 t77 p30 215 N t77->t63->p30
1748.1000 M1265 500000 2 483.1000 t71 p30 231 N t71->t63->p30
1748.3000 M1214 500000 2 534.3000 p23 t63 231 N p23->p30->t63
1748.4000 M1342 500000 4 406.4000 p19 t63 233 N p19->p38->p23->p30->t63
1754.1000 M1269 500000 3 485.1000 t66 t69 231 N t66->p23->p30->t69
1754.3000 M260 500000 2 1494.3000 p23 t69 215 N p23->p30->t69
1768.3000 M884 500000 3 884.3000 p15 p29 225 N p15->p22->t79->p29
1771.6000 M875 500000 2 896.6000 t44 t45 225 N t44->p12->t45
1771.8000 M843 500000 1 928.8000 t45 p12 224 N t45->p12
1775.1000 M677 500000 3 1098.1000 t44 p10 221 N t44->p12->p5->p10
1775.2000 M523 500000 3 1252.2000 t67 p10 219 N t67->p12->p5->p10
1775.4000 M245 500000 4 1530.4000 t60 p10 214 N t60->t72->p1->p5->p10
1775.5000 M378 500000 4 1397.5000 p7 p10 216 N p7->t67->p12->p5->p10
1775.6000 M53 500000 5 1722.6000 p14 p10 211 N p14->p23->t42->p12->p5->p10
1778.7000 M403 500000 6 1375.7000 t69 t54 217 N t69->t63->t73->t77->t62->p8->t54
1782.8000 M810 500000 3 972.8000 t67 p17 223 N t67->p30->p31->p17
1782.9000 M902 500000 4 880.9000 t58 p31 225 N t58->p6->t57->p17->p31
1783.0000 M157 500000 3 1626.0000 t78 p31 212 N t78->t57->p17->p31
1783.1000 M832 500000 4 951.1000 t65 p31 224 N t65->p23->p38->p17->p31
1783.3000 M424 500000 5 1359.3000 t72 p31 217 N t72->p13->t78->t57->p17->p31
1783.4000 M1117 500000 4 666.4000 t51 p31 228 N t51->p38->p37->p17->p31
1794.7000 M159 500000 5 1635.7000 t63 t60 212 N t63->t77->t62->p8->p13->t60
1812.9000 M1460 500000 1 352.9000 p33 p19 234 N p33->p19
1813.0000 M927 500000 3 886.0000 p1 p19 225 N p1->t72->p33->p19
1813.1000 M607 500000 3 1206.1000 t64 p19 219 N t64->p2->p33->p19
1813.3000 M942 500000 4 871.3000 t40 p33 225 N t40->t61->p38->p19->p33
1813.4000 M1184 500000 3 629.4000 t76 p33 229 N t76->p38->p19->p33
1813.5000 M68 500000 5 1745.5000 t78 p33 210 N t78->t57->p17->p38->p19->p33
1813.6000 M374 500000 4 1439.6000 t66 p33 216 N t66->t48->p31->p19->p33
1813.8000 M613 500000 4 1200.8000 t70 p33 219 N t70->t76->p38->p19->p33
1813.9000 M1124 500000 4 689.9000 p6 p33 228 N p6->p37->p38->p19->p33
1814.0000 M1166 500000 3 648.0000 t70 p33 229 N t70->t61->p19->p33
1814.1000 M652 500000 6 1162.1000 t77 p33 220 N t77->t78->t57->p17->p38->p19->p33
1814.3000 M648 500000 4 1166.3000 p6 p33 220 N p6->p37->p38->p19->p33
1814.4000 M1212 500000 4 602.4000 p2 t61 229 N p2->p33->p32->p27->t61
1814.4000 M492 500000 3 1322.4000 p37 p33 217 N p37->p38->p19->p33
1814.5000 M357 500000 1 1457.5000 p27 t61 215 N p27->t61
1817.9000 M944 500000 2 873.9000 p33 p38 225 N p33->p19->p38
1819.9000 M603 500000 4 1216.9000 t47 t56 219 N t47->t61->p19->p33->t56
1823.4000 M1459 500000 1 364.4000 p33 p38 233 N p33->p38
1823.5000 M468 500000 2 1355.5000 p32 p38 217 N p32->p33->p38
1823.6000 M783 500000 2 1040.6000 p32 p38 222 N p32->p33->p38
1830.0000 M99 500000 3 1731.0000 t69 t54 211 N t69->t63->t73->t54
1830.1000 M148 500000 4 1682.1000 p14 t73 211 N p14->p32->p3->t54->t73
1835.3000 M813 500000 5 1022.3000 p13 p16 222 N p13->t78->t48->p17->p31->p16
1835.5000 M827 500000 3 1008.5000 t43 p16 223 N t43->p17->p31->p16
1835.7000 M1402 500000 3 433.7000 t57 p16 232 N t57->p17->p31->p16
1835.8000 M442 500000 2 1393.8000 p30 p16 216 N p30->p31->p16
1839.8000 M938 500000 3 901.8000 t42 t63 224 N t42->t44->t64->t63
1839.9000 M1610 500000 1 229.9000 t63 t64 236 N t63->t64
1841.5000 M1280 500000 3 561.5000 t61 t56 230 N t61->p38->p33->t56
1850.7000 M963 500000 3 887.7000 t74 p22 225 N t74->t68->p29->p22
1855.9000 M72 500000 4 1783.9000 t49 t56 210 N t49->p38->p19->p33->t56
1857.9000 M880 500000 3 977.9000 t41 t44 223 N t41->p29->t79->t44
1865.9000 M1138 500000 4 727.9000 t78 t56 227 N t78->t57->p17->p38->t56
